global_step,seen_tokens,lr,recent_loss,eval_s,ckpt_s,svg_s,meta_s,log_s,val_ppl,best_val_ppl,patience_count
118000,5.66B,0.0001025,3.9976,9.83,1.68,0.01,0.02,1.77,55.96,55.96,2
119000,5.71B,0.0001006,3.9886,9.80,0.00,0.01,0.00,0.01,56.10,55.96,0
120000,5.76B,9.875e-05,3.9888,9.83,1.29,0.00,0.00,1.30,55.66,55.66,1
121000,5.81B,9.687e-05,3.9868,9.82,0.00,0.01,0.00,0.01,55.86,55.66,0
122000,5.86B,9.5e-05,3.9891,9.81,1.30,0.03,0.00,1.33,55.58,55.58,1
123000,5.9B,9.314e-05,3.9871,9.88,0.00,0.01,0.00,0.01,55.78,55.58,2
124000,5.95B,9.128e-05,3.9883,9.85,0.00,0.01,0.00,0.01,55.70,55.58,3
125000,6B,8.944e-05,3.9838,9.79,1.43,0.00,0.00,1.44,55.05,55.05,4
126000,6.05B,8.76e-05,3.9725,9.95,0.00,0.01,0.00,0.01,55.12,55.05,0
127000,6.1B,8.577e-05,3.9788,9.81,0.00,0.01,0.00,0.01,55.06,55.05,1
128000,6.14B,8.394e-05,3.9774,9.78,1.33,0.00,0.00,1.34,54.89,54.89,2
129000,6.19B,8.213e-05,3.9727,9.76,1.35,0.00,0.00,1.36,54.69,54.69,0
130000,6.24B,8.033e-05,3.9622,9.82,1.25,0.00,0.00,1.26,54.37,54.37,0
131000,6.29B,7.854e-05,3.9575,9.93,0.00,0.01,0.00,0.01,54.64,54.37,0
132000,6.34B,7.676e-05,3.9626,9.81,0.00,0.01,0.00,0.01,54.68,54.37,1
133000,6.38B,7.499e-05,3.9648,9.79,1.37,0.01,0.00,1.39,54.00,54.00,2
134000,6.43B,7.323e-05,3.9617,9.85,1.31,0.02,0.00,1.34,53.80,53.80,0
135000,6.48B,7.149e-05,3.9607,9.90,1.30,0.01,0.00,1.31,53.56,53.56,0
136000,6.53B,6.976e-05,3.9531,9.83,0.00,0.01,0.00,0.01,54.29,53.56,0
137000,6.58B,6.804e-05,3.9522,9.75,0.00,0.01,0.00,0.01,53.68,53.56,1
138000,6.62B,6.633e-05,3.9467,9.83,1.36,0.00,0.00,1.37,53.32,53.32,2
139000,6.67B,6.464e-05,3.9428,16.47,0.00,0.01,0.00,0.01,53.79,53.32,0
140000,6.72B,6.297e-05,3.9490,9.84,0.00,0.03,0.00,0.03,53.45,53.32,1
141000,6.77B,6.13e-05,3.9358,9.88,0.00,0.02,0.00,0.02,53.42,53.32,2
142000,6.82B,5.966e-05,3.9439,9.94,0.00,0.01,0.00,0.01,53.51,53.32,3
143000,6.86B,5.802e-05,3.9491,9.80,1.73,0.02,0.01,1.78,52.95,52.95,4
144000,6.91B,5.641e-05,3.9422,9.81,1.70,0.03,0.02,1.75,52.62,52.62,0
145000,6.96B,5.481e-05,3.9373,9.83,0.00,0.01,0.00,0.01,52.95,52.62,0
146000,7.01B,5.322e-05,3.9395,9.85,1.74,0.00,0.00,1.75,52.45,52.45,1
147000,7.06B,5.166e-05,3.9328,9.84,0.00,0.01,0.00,0.01,52.60,52.45,0
148000,7.1B,5.011e-05,3.9324,9.85,0.00,0.01,0.00,0.01,52.46,52.45,1
149000,7.15B,4.858e-05,3.9278,9.85,0.00,0.01,0.00,0.01,52.59,52.45,2
150000,7.2B,4.707e-05,3.9241,9.86,0.00,0.01,0.00,0.01,52.78,52.45,3
151000,7.25B,4.557e-05,3.9201,9.81,1.63,0.00,0.00,1.65,51.99,51.99,4
152000,7.3B,4.41e-05,3.9158,9.91,0.00,0.01,0.00,0.01,52.10,51.99,0
153000,7.34B,4.264e-05,3.9179,9.85,0.00,0.04,0.00,0.04,52.37,51.99,1
154000,7.39B,4.12e-05,3.9200,9.76,0.00,0.03,0.00,0.03,52.27,51.99,2
155000,7.44B,3.978e-05,3.9120,9.83,1.76,0.01,0.02,1.79,51.80,51.80,3
156000,7.49B,3.839e-05,3.9083,9.82,1.70,0.00,0.00,1.71,51.53,51.53,0
157000,7.54B,3.701e-05,3.9143,10.55,0.00,0.01,0.00,0.01,51.63,51.53,0
158000,7.58B,3.566e-05,3.9146,9.84,1.61,0.01,0.00,1.62,51.35,51.35,1
159000,7.63B,3.432e-05,3.9051,9.83,0.00,0.01,0.00,0.01,51.68,51.35,0
160000,7.68B,3.301e-05,3.8960,9.86,0.00,0.01,0.00,0.01,51.52,51.35,1
161000,7.73B,3.172e-05,3.8961,9.92,1.69,0.01,0.01,1.71,51.07,51.07,2
162000,7.78B,3.045e-05,3.8961,9.86,1.63,0.01,0.00,1.64,50.89,50.89,0
163000,7.82B,2.92e-05,3.8977,9.83,0.00,0.01,0.00,0.01,51.12,50.89,0
164000,7.87B,2.798e-05,3.8990,9.81,0.00,0.01,0.00,0.01,51.00,50.89,1
165000,7.92B,2.678e-05,3.8957,9.82,0.00,0.01,0.00,0.01,51.01,50.89,2
166000,7.97B,2.56e-05,3.8869,9.95,0.00,0.01,0.00,0.01,50.95,50.89,3
167000,8.02B,2.444e-05,3.8915,10.00,1.66,0.01,0.02,1.69,50.85,50.85,4
168000,8.06B,2.331e-05,3.8954,9.85,1.42,0.01,0.02,1.45,50.66,50.66,5
169000,8.11B,2.221e-05,3.8985,9.79,1.64,0.01,0.00,1.66,50.47,50.47,0
170000,8.16B,2.112e-05,3.8878,9.84,1.66,0.02,0.02,1.71,50.31,50.31,0
171000,8.21B,2.007e-05,3.8930,9.87,0.00,0.01,0.00,0.01,50.55,50.31,0
172000,8.26B,1.903e-05,3.8808,9.87,0.00,0.01,0.00,0.01,50.32,50.31,1
173000,8.3B,1.803e-05,3.8793,9.86,0.00,0.02,0.00,0.02,50.51,50.31,2
174000,8.35B,1.704e-05,3.8768,9.86,1.68,0.01,0.02,1.71,50.17,50.17,3
175000,8.4B,1.609e-05,3.8776,9.88,0.00,0.01,0.00,0.01,50.26,50.17,0
176000,8.45B,1.516e-05,3.8685,9.96,1.66,0.00,0.00,1.67,49.99,49.99,1
177000,8.5B,1.425e-05,3.8796,11.25,1.58,0.01,0.00,1.59,49.97,49.97,0
178000,8.54B,1.337e-05,3.8744,9.86,1.70,0.02,0.00,1.73,49.79,49.79,1
179000,8.59B,1.252e-05,3.8693,9.81,0.00,0.01,0.00,0.01,49.97,49.79,0
180000,8.64B,1.169e-05,3.8684,9.88,0.00,0.01,0.00,0.01,50.07,49.79,1
181000,8.69B,1.09e-05,3.8780,9.87,1.56,0.01,0.00,1.57,49.75,49.75,2
182000,8.74B,1.012e-05,3.8645,9.83,0.00,0.01,0.00,0.01,49.86,49.75,3
183000,8.78B,9.379e-06,3.8712,9.86,2.16,0.01,0.00,2.18,49.75,49.75,4
184000,8.83B,8.661e-06,3.8598,9.90,0.00,0.01,0.00,0.01,49.78,49.75,5
185000,8.88B,7.972e-06,3.8646,9.93,1.77,0.02,0.00,1.80,49.35,49.35,6
186000,8.93B,7.31e-06,3.8662,9.83,0.00,0.01,0.00,0.01,49.60,49.35,0
187000,8.98B,6.676e-06,3.8614,10.00,0.00,0.02,0.00,0.02,49.58,49.35,1
188000,9.02B,6.069e-06,3.8663,9.84,1.63,0.01,0.01,1.64,48.98,48.98,2
189000,9.07B,5.491e-06,3.8661,10.99,0.00,0.03,0.00,0.03,49.42,48.98,0
190000,9.12B,4.942e-06,3.8680,9.68,0.00,0.01,0.00,0.01,49.64,48.98,1
191000,9.17B,4.421e-06,3.8632,9.69,0.00,0.02,0.00,0.02,49.30,48.98,2
